cutoff-val	Result size	FDR	Expected true positives (tp)	Expected false positives (fp)	tp-fp
0.010195758564437194	25	0.01	24.75	0.25	24.5
0.010195758564437194	25	0.02	24.5	0.5	24.0
0.03968253968253968	28	0.03	27.16	0.84	26.32
0.05857834854117382	33	0.04	31.68	1.32	30.36
0.0831255195344971	38	0.05	36.1	1.9000000000000001	34.2
0.09431751611013474	40	0.06	37.599999999999994	2.4	35.199999999999996
0.11553860819828408	44	0.07	40.919999999999995	3.08	37.839999999999996
0.11553860819828408	44	0.08	40.480000000000004	3.52	36.96
0.1550712489522213	50	0.09	45.5	4.5	41.0
0.1848	52	0.1	46.800000000000004	5.2	41.6
0.1922043010752688	53	0.11	47.17	5.83	41.34
0.1922043010752688	53	0.12	46.64	6.359999999999999	40.28
0.1922043010752688	53	0.13	46.11	6.890000000000001	39.22
0.1922043010752688	53	0.14	45.58	7.420000000000001	38.16
0.1922043010752688	53	0.15	45.05	7.949999999999999	37.099999999999994
0.1922043010752688	53	0.16	44.519999999999996	8.48	36.03999999999999
0.1922043010752688	53	0.17	43.989999999999995	9.01	34.98
0.25754884547069273	55	0.18	45.1	9.9	35.2
0.25754884547069273	55	0.19	44.550000000000004	10.45	34.10000000000001
0.2751200426818424	56	0.2	44.800000000000004	11.200000000000001	33.6
0.2857142857142857	57	0.21	45.03	11.969999999999999	33.06
0.2857142857142857	57	0.22	44.46	12.540000000000001	31.92
0.31341534856473346	59	0.23	45.43	13.57	31.86
0.31341534856473346	59	0.24	44.84	14.16	30.680000000000003
0.31341534856473346	59	0.25	44.25	14.75	29.5
0.31341534856473346	59	0.26	43.66	15.34	28.319999999999997
0.31341534856473346	59	0.27	43.07	15.930000000000001	27.14
0.3534	60	0.28	43.199999999999996	16.8	26.399999999999995
0.3534	60	0.29	42.599999999999994	17.4	25.199999999999996
0.3534	60	0.3	42.0	18.0	24.0
0.3534	60	0.31	41.4	18.6	22.799999999999997
0.3534	60	0.32	40.8	19.2	21.599999999999998
0.4	61	0.33	40.87	20.130000000000003	20.739999999999995
0.4	61	0.34	40.26	20.740000000000002	19.519999999999996
0.4	61	0.35	39.65	21.349999999999998	18.3
0.4	61	0.36	39.04	21.96	17.08
0.4	61	0.37	38.43	22.57	15.86
0.45454545454545453	63	0.38	39.06	23.94	15.120000000000001
0.4715	64	0.39	39.04	24.96	14.079999999999998
0.47619047619047616	65	0.4	39.0	26.0	13.0
0.47619047619047616	65	0.41	38.35000000000001	26.65	11.70000000000001
0.5002	66	0.42	38.28	27.72	10.560000000000002
0.5002	66	0.43	37.620000000000005	28.38	9.240000000000006
0.5002	66	0.44	36.96	29.04	7.920000000000002
0.5494082840236686	69	0.45	37.95	31.05	6.900000000000002
0.5494082840236686	69	0.46	37.260000000000005	31.740000000000002	5.520000000000003
0.571611253196931	70	0.47	37.1	32.9	4.200000000000003
0.571611253196931	70	0.48	36.4	33.6	2.799999999999997
0.5882352941176471	72	0.49	36.72	35.28	1.4399999999999977
0.5882352941176471	72	0.5	36.0	36.0	0.0
